id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id,geschlecht
140,140,Filippo,Leutenegger,,NR,FDP.Die Liberalen,ZH,http://infocube.ch/de/p/791471/bolla-vincenz-claudia,791471.0,m
141,141,Susanne,Leutenegger Oberholzer,,NR,SPS,BL,0.0,0.0,w
142,142,Christian,Levrat,,SR,PSS,FR,http://infocube.ch/de/p/1144647/carrupt-alain,1144647.0,m
143,143,Christian,Lohr,,NR,CVP,TG,http://infocube.ch/de/p/4957570/badertscher-renz-gabriele,4957570.0,m
144,144,Filippo,Lombardi,,SR,CVP,TI,http://infocube.ch/de/p/534408/wyder-rudolf-thomas,534408.0,m
145,145,Christian,Lüscher,,NR,PLR.Les Libéraux-Radicaux,GE,,,m
146,146,Werner,Luginbühl,,SR,BDP,BE,http://infocube.ch/de/p/5546035/muerner-martin,5546035.0,m
147,147,Ruedi,Lustenberger,,NR,CVP,LU,,,m
148,148,Thomas,Maier,,NR,glp,ZH,http://infocube.ch/de/p/5579517/zeyer-christian,5579517.0,m
149,149,Jacques-André,Maire,,NR,PSS,NE,,,m
150,150,Christa,Markwalder,,NR,FDP.Die Liberalen,BE,,,w
151,151,Ada,Marra,,NR,PSS,VD,http://infocube.ch/de/p/6657780/hamdaoui-mohamed,6657780.0,w
152,152,Nadine,Masshardt,,NR,SPS,BE,https://infocube.ch/de/p/6348926/schefer-andreas#activeMandates,6348926.0,w
153,153,Liliane,Maury Pasquier,,SR,PSS,GE,,,w
154,154,Lucrezia,Meier-Schatz,,NR,CVP,SG,,,w
155,155,Thomas,Minder,,SR,0.0,SH,0.0,0.0,m
156,156,Isabelle,Moret,,NR,PLR.Les Libéraux-Radicaux,VD,,,w
157,157,Christoph,Mörgeli,,NR,SVP,ZH,,,m
158,158,Tiana Angelina,Moser,,NR,glp,ZH,0.0,0.0,w
159,159,Geri,Müller,,NR,GPS,AG,,,m
160,160,Leo,Müller,,NR,CVP,LU,http://infocube.ch/de/p/702264/schwenk-oskar-j,702264.0,m
