id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
235,235,Karl,Vogler,"",NR,CSP,OW,http://infocube.ch/de/p/1190796/egle-franz,1190796.0
236,236,Alec,"von Graffenried","",NR,GPS,BE,"",""
237,237,Erich,"von Siebenthal","",NR,SVP,BE,"",""
238,238,Eric,Voruz,"",NR,PSS,VD,"",""
239,239,"Hansjörg",Walter,"",NR,SVP,TG,"Zu ungenau",""
240,240,Hansruedi,Wandfluh,"",NR,SVP,BE,https://infocube.ch/de/p/1038098/linder-stefan,1038098.0
241,241,Christian,Wasserfallen,"",NR,"FDP.Die Liberalen",BE,https://infocube.ch/de/p/p28007352913/thalhammer-alexandra#activeAddresses,p28007352913
242,242,Thomas,Weibel,"",NR,glp,ZH,https://infocube.ch/de/p/p24006194100/kunz-stefan,p24006194100
243,243,"Cédric",Wermuth,"",NR,SPS,AG,https://infocube.ch/de/p/p22009442056/sariaslan-emine,p22009442056
244,244,Walter,Wobmann,"",NR,SVP,SO,0.0,0.0
245,245,Roberto,Zanetti,"",SR,SPS,SO,https://infocube.ch/de/p/4573869/tuti-giorgio#activeMandates,4573869.0
246,246,Lothar,"Ziörjen","",NR,BDP,ZH,https://infocube.ch/de/p/472127/stockmann-benedikt-maximilian#activeMandates,472127.0
