id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
424,178,Enggasser Josiane,Schweizer Obstverband,4178254,4178254,,Activities of business and employers membership organisations,,,
179,179,Studerus Konrad,"Studerus und Partner AG, Zug",477648,477648,,Business and other management consultancy activities,,,
425,179,Derrer-Balladore Ruth,Schweizerischer Arbeitgeberverband,0,,,,,,
180,180,Sutter Sigrid,SWISS LABEL,699390,,,Market research and public opinion polling,,,
426,180,Gfeller Kurt,Schweizerischer Gewerbeverband (sgv),880278,880278,,0,,,
181,181,Björk Michaela,Persönliche Mitarbeiterin,0,p25004801411,,0,,,
427,181,0,0,0,0,,0,0,,0
182,182,Baertschi François,Persönlicher Mitarbeiter,6250817,45382,,Pension funding,,,
428,182,Stauffer Eric,Mouvement Citoyens Romand - Mouvement Citoyens Geenvois (MCR-MCG),5266238,,,0,,,
183,183,Maurer Thomas C.,Maurer Partner Communications AG,0,975543,,Public relations and communication activities,,,
429,183,0,0,0,0,,0,0,,0
184,184,Meyer Urs F.,Schweizer Medien,0,335092,,Publishing of journals and periodicals,,,
430,184,Burkhardt Michael,SUNRISE,5152510,,,Development of building projects,,,
185,185,Werder Christina,Schweizerischer Gewerkschaftsbund,6446441,6446441,,Pension funding,,,
431,185,Ambrosetti Renzo,Gewerkschaft Unia,33776,33776,,Activities of trade unions,,,
186,186,Karch Herbert,Agrarallianz / Kleinbauern-Vereinigung (VKMB),848993,848993,,0,,,
432,186,Comina Claude,Gast,6525896,,,Freight transport by road,,,
187,187,Geninazzi Angelo,economiesuisse Svizzera italiana,0,,,0,,,
433,187,Trisconi Michela,Persönliche Mitarbeiterin,4193798,,,0,,,
188,188,Simonet Denis,Piratenpartei,5238035,p21008036913,,0,,,
434,188,Horisberger Marc,"VPUG - Verband der Poker-, Geschicklichkeits- und Unterhaltungsspiele-Anbieter",816992,,,0,,,
189,189,Reimann Hans Peter,Gast,6970879,6970879,,Freight transport by road,,,
435,189,Hürzeler Urs,Persönlicher Mitarbeiter,733742,,,Pension funding,,,
190,190,Strozzi Elena Antonella,Initiative des Alpes,0,,,0,,,
436,190,Grob Annina,Union des Etudiants de Suisse (UNES),0,,,0,,,
191,191,Suter Bertil,Gast,0,p22010017274,,Freight transport by road,,,
437,191,Cornu Pierre,Persönlicher Mitarbeiter,118752,,,Pension funding,,,
192,192,Bachmann Jürg,Verband Schweizer Privatradios (VSP),4207815,,,,,,
438,192,0,0,0,,,0,0,,0
193,193,Schwitter Stephan,Wohnbaugenossenschaft Schweiz,5499131,816649,,0,,,
439,193,Christoph Kull,Beratendes Organ für Fragen der Klimaänderung des Bundes (OcCC),677582,,,0,,,
194,194,Salzmann Bernard,USAM,784129,,,0,,,
440,194,0,0,0,0,,0,0,,0
195,195,Widmer Andreas,St. Galler Bauernverband,6067645,524178,,Activities of professional membership organisations,,,
441,195,Josef Dissler,Schweizerischer Bauernverband,944515,944515,,Activities of business and employers membership organisations,,,
196,196,Kuert Killer Matthias,Travail.Suisse,5912967,5912967,,0,,,
442,196,Rossi Michele,Associazioni economiche ticinesi,4822329,5413724,,0,,,
197,197,Zimmermann Thomas,Schweizerischer Gewerkschaftsbund,1025987,,,Pension funding,,,
443,197,0,0,0,0,,0,0,,0
198,198,Besio Beatrix,Persönliche Mitarbeiterin,4034403,4034403,,0,,,
444,198,Gfeller Peter,Schweizer Milchproduzenten,12957,188532,,Activities of professional membership organisations,,,
199,199,Paltenghi Luca,Persönlicher Mitarbeiter,0,p27007321472,,Pension funding,,,
445,199,0,0,0,0,,0,0,,0
200,200,Lauber Tamara,Persönliche Mitarbeiterin,6951145,6951145,,0,,,
446,200,0,0,0,0,,0,0,,0
201,201,Rodewald Raimund,Stiftung Landschaftsschutz Schweiz,728838,728838,,Other interest groups,,,
447,201,Bianchi Doris,Schweizerischer Gewerkschaftsbund,5429227,,,Pension funding,,,
202,202,Ruiz Rebecca,Gast,5376076,,,Freight transport by road,,,
