id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
172,172,Eric,Nussbaumer,m,NR,SPS,BL,https://infocube.ch/de/p/4010952/batzli-stefan,4010952
173,173,Roberta,Pantani,w,NR,Lega,TI,0,0
174,174,Corrado,Pardini,m,NR,SPS,BE,,
175,175,Guy,Parmelin,m,NR,UDC,VD,0,0
176,176,Fulvio,Pelli,m,NR,PLR.Les LibÃ©raux-Radicaux,TI,,
177,177,Yvan,Perrin,m,NR,UDC,NE,http://infocube.ch/de/p/527355/willener-walter,527355
178,178,Bruno,Pezzatti,m,NR,FDP.Die Liberalen,ZG,http://infocube.ch/de/p/4178254/enggasser-josiane,4178254
179,179,Gerhard,Pfister,m,NR,CVP,ZG,,
180,180,Nadja,Pieren,w,NR,SVP,BE,http://infocube.ch/de/p/880278/gfeller-kurt,880278
181,181,ValÃ©rie,Piller Carrard,w,NR,PSS,FR,0,0
182,182,Mauro,Poggia,m,NR,MCR,GE,,
183,183,Rosmarie,Quadranti,w,NR,BDP,ZH,0,0
184,184,Lorenzo,Quadri,m,NR,Lega,TI,,
185,185,Paul,Rechsteiner,m,SR,SPS,SG,http://infocube.ch/de/p/33776/ambrosetti-renzo-carlo,33776
186,186,Luc,Recordon,m,SR,Les Verts,VD,,
187,187,Fabio,Regazzi,m,NR,PPD,TI,,
188,188,Lukas,Reimann,m,NR,SVP,SG,,
189,189,Maximilian,Reimann,m,NR,SVP,AG,,
190,190,Mathias,Reynard,m,NR,PSS,VS,,
191,191,Alain,Ribaux,m,NR,PLR.Les LibÃ©raux-Radicaux,NE,,
192,192,Natalie Simone,Rickli,w,NR,SVP,ZH,0,
193,193,Kathy,Riklin,w,NR,CVP,ZH,,
194,194,Jean-FranÃ§ois,Rime,m,NR,UDC,FR,0,0
195,195,Markus,Ritter,m,NR,CVP,TI,https://infocube.ch/de/p/944515/dissler-josef,944515
196,196,Marco,Romano,m,NR,CVP,TI,http://infocube.ch/de/p/5413724/rossi-michele,5413724
197,197,StÃ©phane,Rossini,m,NR,PSS,VS,0,0
198,198,Albert,RÃ¶sti,m,NR,SVP,BE,https://infocube.ch/de/p/188532/gfeller-peter,188532
199,199,Pierre,Rusconi,m,NR,UDC,TI,0,0
200,200,Rutz,Gregor A.,m,NR,SVP,ZH,0,0
201,201,Regula,Rytz,w,NR,GPS,BE,,
202,202,GÃ©raldine,Savary,w,SR,PSS,VD,,
203,203,Louis,Schelbert,m,NR,GPS,LU,https://infocube.ch/de/p/865001/beglinger-fedorova-caroline,865001
204,204,Silvia,Schenker,w,NR,SPS,BS,http://infocube.ch/de/p/5164353/bienlein-martin,5164353
205,205,Peter,Schilliger,m,NR,FDP.Die Liberalen,LU,,
206,206,Urs,SchlÃ¤fli,m,NR,CVP,SO,,
207,207,Martin,Schmid,m,SR,FDP.Die Liberalen,GR,0,0
208,208,Barbara,Schmid-Federer,w,NR,CVP,ZH,https://infocube.ch/de/p/6243190/saxer-mark-arnold,6243190
209,209,Daniela,Schneeberger,w,NR,FDP.Die Liberalen,BL,0,0
210,210,Ursula,Schneider SchÃ¼ttel,w,NR,SPS,FR,0,0
211,211,Elisabeth,Schneider-Schneiter,w,NR,CVP,BL,https://infocube.ch/de/p/5190083/saladin-franz,5190083
212,212,Jean Christophe,Schwaab,m,NR,PSS,VD,,
213,213,Urs,Schwaller,m,SR,CVP,FR,,
214,214,Pirmin,Schwander,m,NR,SVP,SZ,0,0
215,215,Silva,Semadeni,w,NR,SPS,GR,,
216,216,Anne,Seydoux-Christe,w,SR,PDC,JU,https://infocube.ch/de/p/6525747/oberbeck-simon,6525747
217,217,Carlo,Sommaruga,m,NR,PSS,GE,infocube.ch/de/p/970677/niggli-peter,970677
218,218,Markus,Stadler,m,SR,glp,UR,http://infocube.ch/de/p/4663719/rey-alfred,4663719
219,219,JÃ¼rg,Stahl,m,NR,SVP,ZH,http://infocube.ch/de/p/6522394/grichting-thomas#activeMandates,6522394
220,220,Luzius,Stamm,m,NR,SVP,AG,http://infocube.ch/de/p/4931043/buholzer-rene-paul,4931043
221,221,Jean-FranÃ§ois,Steiert,m,NR,PSS,FR,http://infocube.ch/de/p/872550/ziltener-erika,872550
222,222,Hans,StÃ¶ckli,m,SR,SPS,BE,0,0
223,223,Daniel,Stolz,m,NR,FDP.Die Liberalen,BS,0,0
224,224,Marianne,Streiff-Feller,w,NR,EVP,BE,http://infocube.ch/de/p/729397/saxenhofer-peter-eugen-seraphin#activeMandates,729397
225,225,Georges,Theiler,m,SR,FDP.Die Liberalen,LU,0,0
226,226,AdÃ¨le,Thorens Goumaz,w,NR,PES,VD,,
227,227,Manuel,Tornare,m,NR,PSS,GE,Zu ungenau,
228,228,Aline,Trede,w,NR,GPS,BE,0,0
229,229,Alexander,TschÃ¤ppÃ¤t,m,NR,SPS,BE,,
230,230,Andy,TschÃ¼mperlin,m,NR,SPS,SZ,,
231,231,Christian,van Singer,m,NR,PES,VD,https://infocube.ch/de/p/6702969/michaud-gigon-sophie-alda-linette#activeMandates,6702969
232,232,Pierre-FranÃ§ois,Veillon,m,NR,UDC,VD,https://infocube.ch/de/p/4442814/schneuwly-felix,4442814
233,233,Daniel,Vischer,m,NR,GPS,ZH,Zu ungenau,
234,234,Albert,Vitali,m,NR,FDP.Die Liberalen,LU,,
235,235,Karl,Vogler,m,NR,CSP,OW,http://infocube.ch/de/p/1190796/egle-franz,1190796
236,236,Alec,von Graffenried,m,NR,GPS,BE,,
237,237,Erich,von Siebenthal,m,NR,SVP,BE,,
238,238,Eric,Voruz,m,NR,PSS,VD,,
239,239,HansjÃ¶rg,Walter,m,NR,SVP,TG,Zu ungenau,
240,240,Hansruedi,Wandfluh,m,NR,SVP,BE,https://infocube.ch/de/p/1038098/linder-stefan,1038098
241,241,Christian,Wasserfallen,m,NR,FDP.Die Liberalen,BE,https://infocube.ch/de/p/p28007352913/thalhammer-alexandra#activeAddresses,p28007352913
242,242,Thomas,Weibel,m,NR,glp,ZH,https://infocube.ch/de/p/p24006194100/kunz-stefan,p24006194100
243,243,CÃ©dric,Wermuth,m,NR,SPS,AG,https://infocube.ch/de/p/p22009442056/sariaslan-emine,p22009442056
244,244,Walter,Wobmann,m,NR,SVP,SO,0,0
245,245,Roberto,Zanetti,m,SR,SPS,SO,https://infocube.ch/de/p/4573869/tuti-giorgio#activeMandates,4573869
246,246,Lothar,ZiÃ¶rjen,m,NR,BDP,ZH,https://infocube.ch/de/p/472127/stockmann-benedikt-maximilian#activeMandates,472127
